"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Benchmark Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.017238","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Benchmark Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.00567532","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Period Mean (original grids)","MeanState","global","scalar","g/m2/s","0.0182448","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Model Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.0183277","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Model Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.016589","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Benchmark Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.010255","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Benchmark Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.00899857","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Period Mean (original grids)","MeanState","above","scalar","g/m2/s","0.00644043","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Model Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.00654824","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Model Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.00564028","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Spatial Distribution Score","MeanState","global","score","1","0.947614","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Spatial Distribution Score","MeanState","above","score","1","0.981216","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Phase Shift","MeanState","global","scalar","months","0.860831","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Seasonal Cycle Score","MeanState","global","score","1","0.896838","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Phase Shift","MeanState","above","scalar","months","0.600646","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Seasonal Cycle Score","MeanState","above","score","1","0.960212","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Bias","MeanState","global","scalar","g/m2/s","0.00108974","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Bias Score","MeanState","global","score","1","0.640515","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Bias","MeanState","above","scalar","g/m2/s","-0.00370674","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Bias Score","MeanState","above","score","1","0.729543","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","RMSE","MeanState","global","scalar","g/m2/s","0.00784602","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","RMSE Score","MeanState","global","score","1","0.559775","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","RMSE","MeanState","above","scalar","g/m2/s","0.00647024","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","RMSE Score","MeanState","above","score","1","0.638455","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Overall Score","MeanState","global","score","1","0.720903","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","SDGVM","Overall Score","MeanState","above","score","1","0.789576","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Benchmark Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.0170565","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Benchmark Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.0080504","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Period Mean (original grids)","MeanState","global","scalar","g/m2/s","0.0161461","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Model Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.0161237","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Model Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.0177748","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Benchmark Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.0102475","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Benchmark Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.0100315","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Period Mean (original grids)","MeanState","above","scalar","g/m2/s","0.00563761","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Model Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.00563739","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Model Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.00564693","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Spatial Distribution Score","MeanState","global","score","1","0.977823","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Spatial Distribution Score","MeanState","above","score","1","0.96498","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Phase Shift","MeanState","global","scalar","months","1.05341","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Seasonal Cycle Score","MeanState","global","score","1","0.855565","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Phase Shift","MeanState","above","scalar","months","0.723268","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Seasonal Cycle Score","MeanState","above","score","1","0.940994","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Bias","MeanState","global","scalar","g/m2/s","-0.000932838","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Bias Score","MeanState","global","score","1","0.668725","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ISAM","Bias","MeanState","above","scalar","g/m2/s","-0.00461015","1.0"
